price,bdrms,sqrft,lotsize,assess
300.0,4,2438,6126.0,349.1
370.0,3,2076,9903.0,351.5
191.0,3,1374,5200.0,217.7
195.0,3,1448,4600.0,231.8
373.0,4,2514,6095.0,319.1
466.275,5,2754,8566.0,414.5
332.5,3,2067,9000.0,367.8
315.0,3,1731,6210.0,300.2
206.0,3,1767,6000.0,236.1
240.0,3,1890,2892.0,256.3
285.0,4,2336,6000.0,314.0
300.0,5,2634,7047.0,416.5
405.0,3,3375,12237.0,434.0
212.0,3,1899,6460.0,279.3
265.0,3,2312,6519.0,287.5
227.4,4,1760,3597.0,232.9
240.0,4,2000,5922.0,303.8
285.0,3,1774,7123.0,305.6
268.0,3,1376,5642.0,266.7
310.0,4,1835,8602.0,326.0
266.0,3,2048,5494.0,294.3
270.0,3,2124,7800.0,318.8
225.0,3,1768,6003.0,294.2
150.0,4,1732,5218.0,208.0
247.0,3,1440,9425.0,239.7
275.0,3,1932,6114.0,294.1
230.0,3,1932,6710.0,267.4
343.0,3,2106,8577.0,359.9
477.5,7,3529,8400.0,478.1
350.0,4,2051,9773.0,355.3
230.0,4,1573,4806.0,217.8
335.0,4,2829,15086.0,385.0
251.0,3,1630,5763.0,224.3
235.0,4,1840,6383.0,251.9
361.0,4,2066,9000.0,354.9
190.0,4,1702,3500.0,212.5
360.0,4,2750,10892.0,452.4
575.0,5,3880,15634.0,518.1
209.001,4,1854,6400.0,289.4
225.0,2,1421,8880.0,268.1
246.0,3,1662,6314.0,278.5
713.5,5,3331,28231.0,655.4
248.0,4,1656,7050.0,273.3
230.0,3,1171,5305.0,212.1
375.0,5,2293,6637.0,354.0
265.0,3,1764,7834.0,252.1
313.0,3,2768,1000.0,324.0
417.5,4,3733,8112.0,475.5
253.0,3,1536,5850.0,256.8
315.0,4,1638,6660.0,279.2
264.0,3,1972,6637.0,313.9
255.0,2,1478,15267.0,279.8
210.0,3,1408,5146.0,198.7
180.0,3,1812,6017.0,221.5
250.0,3,1722,8410.0,268.4
250.0,4,1780,5625.0,282.3
209.0,4,1674,5600.0,230.7
258.0,4,1850,6525.0,287.0
289.0,3,1925,6060.0,298.7
316.0,4,2343,5539.0,314.6
225.0,3,1567,7566.0,291.0
266.0,4,1664,5484.0,286.4
310.0,6,1386,5348.0,253.6
471.25,5,2617,15834.0,482.0
335.0,4,2321,8022.0,384.3
495.0,4,2638,11966.0,543.6
279.5,4,1915,8460.0,336.5
380.0,4,2589,15105.0,515.1
325.0,4,2709,10859.0,437.0
220.0,3,1587,6300.0,263.4
215.0,3,1694,11554.0,300.4
240.0,3,1536,6000.0,250.7
725.0,5,3662,31000.0,708.6
230.0,3,1736,4054.0,276.3
306.0,2,2205,20700.0,388.6
425.0,3,1502,5525.0,252.5
318.0,4,1696,92681.0,295.2
330.0,3,2186,8178.0,359.5
246.0,4,1928,5944.0,276.2
225.0,3,1294,18838.0,249.8
111.0,4,1535,4315.0,202.4
268.125,3,1980,5167.0,254.0
244.0,4,2090,7893.0,306.8
295.0,3,1837,6056.0,318.3
236.0,3,1715,5828.0,259.4
202.5,3,1574,6341.0,258.1
219.0,2,1185,6362.0,232.0
242.0,4,1774,4950.0,252.0
